id,code,text
1845,1100,species__traits
1846,1100,quantitative__trait
1848,1100,functional__groups plant__functional__groups
1850,1100,plant__traits
1853,1100,quantitative__trait
1854,1100,ecological__traits
1857,1100,functional__groups
1860,1100,agronomic__traits phenotypic__traits
1864,1100,quality__traits
1865,1100,quantitative__trait
1866,1100,trait__variation
1867,1100,functional__groups
1869,1100,functional__groups functional__groups
1870,1100,functional__traits
1871,1100,functional__traits
1872,1100,morphological__traits
1876,1100,quality__traits
1877,1100,life_history__traits reproductive__traits
1879,1100,functional__traits morphological__traits
1882,1100,important__traits
1883,1100,quantitative__trait
1891,1100,phenotypic__traits
1892,1100,quality__traits
1893,1100,important__traits
1896,1100,ecological__traits
1897,1100,growth__traits
1898,1100,functional__groups
1902,1100,functional__groups
1903,1100,quality__traits
1905,1100,morphological__traits
1906,1100,plant__traits species__traits
1909,1100,agronomic__traits important__traits quantitative__trait
1910,1100,species__traits
1913,1100,functional__diversity functional__traits functional__traits
1914,1100,agronomic__traits
1915,1100,history__traits
1916,1100,functional__traits
1917,1100,agronomic__traits physiological__traits
1918,1100,functional__groups
1920,1100,plant__traits
1922,1100,functional__groups
1925,1100,morphological__traits physiological__traits
1926,1100,functional__traits plant__traits reproductive__traits
1927,1100,functional__groups
1931,1100,trait__variation
1932,1100,functional__traits plant__functional__traits trait__variation
1936,1100,functional__groups functional__groups
1938,1100,functional__traits plant__functional__traits
1940,1100,quantitative__trait
1941,1100,morphological__traits
1943,1100,agronomic__traits
1951,1100,functional__traits
1952,1100,physiological__traits
1953,1100,functional__groups
1954,1100,functional__groups functional__groups
1955,1100,quantitative__trait
1956,1100,morphological__traits
1957,1100,agronomic__traits
1958,1100,functional__groups functional__groups
1960,1100,functional__traits
1961,1100,morphological__traits
1962,1100,functional__traits
1966,1100,functional__traits
1968,1100,physiological__traits
1969,1100,plant__traits
1970,1100,ecological__traits
1973,1100,functional__groups functional__groups plant__functional__groups plant__functional__groups
1974,1100,phenotypic__traits
1978,1100,quality__traits
1979,1100,functional__groups
1980,1100,phenotypic__traits
1983,1100,biological__traits
1985,1100,functional__groups
1986,1100,species__traits
1987,1100,functional__diversity functional__traits
1990,1100,functional__groups
1991,1100,quantitative__trait
1992,1100,morphological__traits
1993,1100,biological__traits
1994,1100,important__traits
1995,1100,quantitative__trait
1996,1100,phenotypic__traits
1998,1100,morphological__traits
2000,1100,phenotypic__traits
2002,1100,morphological__traits
2003,1100,functional__groups
2004,1100,physiological__traits
2006,1100,functional__traits
2007,1100,functional__traits
2008,1100,important__traits
2009,1100,life_history__traits
2010,1100,functional__groups
2013,1100,functional__groups
2016,1100,life_history__traits
2017,1100,species__traits
2019,1100,quantitative__trait
2021,1100,reproductive__traits
2024,1100,functional__traits history__traits
2025,1100,physiological__traits
2026,1100,important__traits quantitative__trait
2032,1100,functional__groups
2034,1100,growth__traits
2035,1100,functional__groups
2036,1100,life_history__traits
2038,1100,phenotypic__traits
2040,1100,quantitative__trait
2041,1100,functional__traits
2043,1100,functional__groups
2044,1100,agronomic__traits
2046,1100,life_history__traits
2048,1100,morphological__traits
2049,1100,functional__diversity
2050,1100,physiological__traits
2051,1100,morphological__traits physiological__traits trait__variation
2053,1100,adaptive__traits
2054,1100,ecological__traits important__traits
2058,1100,functional__groups
2060,1100,functional__traits
2062,1100,functional__groups
2063,1100,functional__traits
2065,1100,functional__traits plant__functional__traits
2070,1100,history__traits
2072,1100,physiological__traits
2073,1100,morphological__traits
2076,1100,functional__groups
2077,1100,functional__groups
2082,1100,life_history__traits
2085,1100,plant__traits
2086,1100,important__traits
2088,1100,functional__groups
